"","WaterYear","Precip_mm","Tmax_C","Tmin_C","Snow_mm"
"1",2005,835.406,15.7814407815495,0.549450549384615,1732.28
"2",2006,1606.296,13.7072649574698,-0.147640791342466,1229.36
"3",2007,1194.308,13.1703910615587,-0.249999999902778,1689.1
"4",2008,1223.518,13.1372549021905,-0.0915750915686813,2288.54
"5",2009,1087.882,12.528470298554,-0.581430745791781,1978.66
"6",2010,929.64,13.8888888888966,1.30241812065565,1440.18
"7",2011,1327.15,12.8227808814777,-0.0601851849305556,2265.68
"8",2012,978.154,15.7475605914108,2.31971525846797,1188.72
"9",2013,1107.948,14.3074581431507,1.83257229849589,1358.9
"10",2014,1053.084,12.480158730272,-0.665445665324176,2072.64
"11",2015,1084.58,12.8477929983397,-0.0715372905945205,2052.32
"12",2016,864.87,14.7146326653907,1.53460837897268,647.7
