"year","date","season_week","WindSp_ms_min"
2009,2009-05-29,1,NA
2009,2009-06-04,2,NA
2009,2009-06-11,3,NA
2009,2009-06-17,4,NA
2009,2009-06-25,5,NA
2009,2009-07-02,6,NA
2009,2009-07-09,7,NA
2009,2009-07-16,8,NA
2009,2009-07-23,9,NA
2009,2009-07-30,10,0.6
2009,2009-08-06,11,0.4
2009,2009-08-13,12,0.4
2009,2009-08-20,13,0.2
2009,2009-08-27,14,0.4
2009,2009-09-01,15,0.4
2009,2009-09-08,16,0.5
2009,2009-09-15,17,0.6
2009,2009-09-21,18,0.2
2009,2009-09-24,19,NA
2009,2009-10-05,20,1.9
2010,2010-05-25,1,0.3
2010,2010-06-04,2,0.2
2010,2010-06-10,3,1.1
2010,2010-06-15,4,0.9
2010,2010-06-24,5,0.9
2010,2010-07-01,6,0.9
2010,2010-07-08,7,0.6
2010,2010-07-15,8,0.3
2010,2010-07-22,9,0.9
2010,2010-07-29,10,1.2
2010,2010-08-05,11,0.2
2010,2010-08-12,12,1.4
2010,2010-08-19,13,0.7
2010,2010-08-26,14,1.1
2010,2010-09-02,15,0.2
2010,2010-09-09,16,1.4
2010,2010-09-16,17,0.3
2010,2010-09-23,18,0.1
2010,2010-09-30,19,0.1
2010,2010-10-07,20,1.8
2011,2011-05-26,1,0.3
2011,2011-06-02,2,1.6
2011,2011-06-10,3,0.7
2011,2011-06-16,4,0.2
2011,2011-06-23,5,3.2
2011,2011-06-30,6,1
2011,2011-07-07,7,1.3
2011,2011-07-14,8,0.4
2011,2011-07-21,9,0.8
2011,2011-07-28,10,0.2
2011,2011-08-04,11,0.3
2011,2011-08-11,12,1.1
2011,2011-08-18,13,0.6
2011,2011-08-25,14,0.5
2011,2011-09-01,15,0.1
2011,2011-09-08,16,0.3
2011,2011-09-15,17,0.5
2011,2011-09-22,18,0.1
2011,2011-09-29,19,1.6
2011,2011-10-06,20,1.5
2012,2012-05-24,1,0.1
2012,2012-05-31,2,1.5
2012,2012-06-07,3,0.4
2012,2012-06-14,4,0.2
2012,2012-06-21,5,0.4
2012,2012-06-28,6,0.8
2012,2012-07-05,7,0.5
2012,2012-07-12,8,0.2
2012,2012-07-19,9,0.5
2012,2012-07-26,10,0.2
2012,2012-08-02,11,0.3
2012,2012-08-09,12,0.4
2012,2012-08-16,13,0.5
2012,2012-08-23,14,0.1
2012,2012-08-30,15,1.2
2012,2012-09-06,16,0.3
2012,2012-09-13,17,0.4
2012,2012-09-20,18,0.3
2012,2012-09-27,19,0.5
2012,2012-10-05,20,0.2
2013,2013-05-23,1,0
2013,2013-05-30,2,0.2
2013,2013-06-06,3,0.4
2013,2013-06-13,4,0.3
2013,2013-06-20,5,0.2
2013,2013-06-27,6,0.4
2013,2013-07-03,7,0.4
2013,2013-07-11,8,0.6
2013,2013-07-18,9,0.5
2013,2013-07-25,10,0.6
2013,2013-08-01,11,0.2
2013,2013-08-08,12,0.2
2013,2013-08-15,13,1.2
2013,2013-08-22,14,1.1
2013,2013-08-29,15,0.8
2013,2013-09-05,16,1.5
2013,2013-09-11,17,0.4
2013,2013-09-18,18,0.7
2013,2013-09-25,19,1.4
2013,2013-10-02,20,0.3
2014,2014-05-29,1,NA
2014,2014-06-05,2,NA
2014,2014-06-12,3,2.2
2014,2014-06-19,4,0.5
2014,2014-06-26,5,0.1
2014,2014-07-02,6,0.5
2014,2014-07-09,7,0.9
2014,2014-07-17,8,1.2
2014,2014-07-23,9,0.8
2014,2014-07-30,10,0.4
2014,2014-08-06,11,0.6
2014,2014-08-12,12,0.3
2014,2014-08-20,13,0.2
2014,2014-08-27,14,0.9
2014,2014-09-04,15,0.5
2014,2014-09-10,16,0.3
2014,2014-09-17,17,0.2
2014,2014-09-25,18,0.3
2014,2014-10-03,19,0.2
2014,2014-10-10,20,0.6
2015,2015-05-21,1,NA
2015,2015-05-28,2,NA
2015,2015-06-05,3,NA
2015,2015-06-11,4,NA
2015,2015-06-19,5,NA
2015,2015-06-25,6,NA
2015,2015-07-02,7,NA
2015,2015-07-09,8,NA
2015,2015-07-16,9,NA
2015,2015-07-23,10,NA
2015,2015-07-30,11,NA
2015,2015-08-06,12,NA
2015,2015-08-13,13,NA
2015,2015-08-20,14,NA
2015,2015-08-25,15,NA
2015,2015-09-03,16,NA
2015,2015-09-10,17,NA
2015,2015-09-17,18,NA
2015,2015-09-24,19,NA
2015,2015-10-02,20,NA
2016,2016-05-26,1,NA
2016,2016-06-03,2,NA
2016,2016-06-09,3,NA
2016,2016-06-16,4,NA
2016,2016-06-23,5,NA
2016,2016-06-30,6,NA
2016,2016-07-07,7,NA
2016,2016-07-14,8,NA
2016,2016-07-21,9,NA
2016,2016-07-27,10,NA
2016,2016-08-04,11,NA
2016,2016-08-11,12,NA
2016,2016-08-15,13,NA
2016,2016-08-22,14,NA
2016,2016-08-31,15,NA
2016,2016-09-07,16,NA
2016,2016-09-14,17,NA
2016,2016-09-21,18,NA
2016,2016-09-28,19,NA
2016,2016-10-05,20,NA
