"year","month","light_Coffin.sum","light_Coffin.max","light_Coffin.median","light_Coffin.obs","light_Fichter.sum","light_Fichter.max","light_Fichter.median","light_Fichter.obs","light_OldNewbury.sum","light_OldNewbury.max","light_OldNewbury.median","light_OldNewbury.obs","light_Midge.sum","light_Midge.max","light_Midge.median","light_Midge.obs","totalobs"
2009,5,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,2365,3348
2009,6,NA,NA,NA,1910,NA,NA,NA,1913,NA,NA,NA,1911,6054930.6,14466.8,624.3,4308,3240
2009,7,16170727.5,68889.3,635.1,4463,19531578,198401.3,710.4,4464,12310500.5,63378.2,419.8,4463,6592459.1,38578,150.7,4461,3348
2009,8,14478581,41333.6,419.8,4463,15062286.2,93689.5,215.3,4463,8899869.7,60622.6,172.2,4464,5708267.6,23422.4,139.9,4464,3348
2009,9,NA,NA,NA,2935,NA,NA,NA,2936,NA,NA,NA,2934,NA,NA,NA,1916,3240
2010,5,NA,NA,NA,636,NA,NA,NA,636,NA,NA,NA,636,NA,NA,NA,636,3348
2010,6,25388586.7,126756.4,1194.8,4318,17458322.3,176356.7,538.2,4320,13417285.4,154312.1,807.3,4320,13108779.1,74400.5,710.4,4318,3240
2010,7,22590710.9,88178.4,480,4459,18468594.2,187379,243.8,4460,16035872.6,126756.4,184,4459,10446905.8,85422.8,240,4459,3348
2010,8,37408366.5,170845.6,1092.55,4464,20496912.2,220445.9,570.5,4464,25781588.6,93689.5,818.1,4463,16087910.4,115734.1,861.1,4461,3348
2010,9,NA,NA,NA,3089,NA,NA,NA,3229,NA,NA,NA,3224,NA,NA,NA,3233,3240
2011,6,16088620.7,77156.1,694.3,4056,11896975.3,121245.2,236.8,4089,10130939.1,52355.9,419.8,4088,7365690,42711.4,473.6,4089,3240
2011,7,25753256.6,115734.1,1119.5,4425,15747350.6,198401.3,409,4462,17073316.4,57867,947.2,4462,14764966,52355.9,904.2,4462,3348
2011,8,15056761.6,68889.3,495.1,4424,12107007.9,176356.7,193.8,4462,13233476.1,74400.5,505.9,4462,7816602.7,28933.5,479,4462,3348
2011,9,NA,NA,NA,3064,NA,NA,NA,3100,NA,NA,NA,2747,NA,NA,NA,3105,3240
2012,5,NA,NA,NA,1045,NA,NA,NA,1067,NA,NA,NA,0,NA,NA,NA,1071,3348
2012,6,NA,NA,NA,1935,NA,NA,NA,1951,NA,NA,NA,2370,NA,NA,NA,1949,3240
2012,7,25638436.9,148801,1162.5,3808,21693209.1,115734.1,898.8,3810,22468342.1,104711.8,764.2,4463,13500253.2,126756.4,1151.7,3807,3348
2012,8,32483544.1,159823.3,785.8,4463,24341884,143289.8,678.1,4464,12504729.6,104711.8,269.1,4464,9433712.5,49600.3,656.6,4457,3348
2012,9,NA,NA,NA,2797,21529941.5,148801,177.6,3808,NA,NA,NA,2449,4230029,37200.2,139.9,3804,3240
2013,5,NA,NA,NA,215,NA,NA,NA,911,NA,NA,NA,1197,NA,NA,NA,1197,3348
2013,6,13850406.2,115734.1,384,3587,NA,NA,NA,2446,11458896.2,88178.4,160,4316,10996836.7,52355.9,731.9,4314,3240
2013,7,21083755.1,132267.5,925.7,4460,12709361.3,154312.1,398.3,4460,16383489.6,79911.6,484.4,4460,8303339.1,55111.5,527.4,4460,3348
2013,8,25593059.8,148801,624.3,4460,12690718.8,88178.4,366,4460,18611132,77156.1,667.4,4236,6543452.7,44089.2,387.5,4460,3348
2013,9,NA,NA,NA,2504,NA,NA,NA,2513,NA,NA,NA,641,3623824,17222.3,118.4,3524,3240
2014,5,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,0,NA,NA,NA,341,3348
2014,6,22141638.7,99200.7,1194.8,3649,19506435.3,132267.5,828.8,3648,NA,NA,NA,2988,8489038.7,77156.1,312.2,4313,3240
2014,7,27507611.3,99200.7,1022.6,4460,21881362.6,154312.1,645.8,4460,NA,NA,NA,3245,14344458.5,66133.8,753.5,4459,3348
2014,8,25343795.9,115734.1,613.5,4460,22071402.7,115734.1,527.4,4460,16619036.9,99200.7,495.1,3531,9877996.1,74400.5,505.9,4460,3348
2014,9,NA,NA,NA,2358,NA,NA,NA,2363,NA,NA,NA,2362,5298903.6,44089.2,204.5,3518,3240
2015,6,21895926,115734.1,1227.1,3665,17563325.4,132267.5,785.8,3668,18218624.1,110223,941.85,3668,12559205.6,79911.6,947.2,3669,3240
2015,7,37000242,159823.3,1636.1,4459,26376856,143289.8,882.6,4457,18991412.2,104711.8,1044.1,4459,12942433.3,77156.1,522.05,4458,3348
2015,8,37286053.7,176356.7,931.1,4460,28017351.7,231468.2,688.9,4449,24412972.9,110223,581.3,4459,12196318.3,93689.5,592,4460,3348
2015,9,20172305.7,170845.6,301.4,3374,17613863.7,176356.7,258.3,3385,7724989.2,88178.4,215.3,3382,5414034.9,34444.7,204.5,3390,3240
2016,5,NA,NA,NA,0,NA,NA,NA,35,NA,NA,NA,5,NA,NA,NA,0,3348
2016,6,NA,NA,NA,2079,16391410.6,85422.8,430.6,4316,NA,NA,NA,716,10209077,42711.4,861.1,3955,3240
2016,7,29598896.7,170845.6,1291.7,4462,20329925.7,82667.2,635.1,4462,19749165.8,132267.5,801.9,3678,14431500.2,63378.2,1087.2,4462,3348
2016,8,33916137.3,165334.4,1001,4457,24665116.4,176356.7,581.3,4458,27261730.6,242490.5,559.7,4458,9940976.7,34444.7,721.2,4458,3348
2016,9,17372608.8,148801,226,3945,11040314.9,187379,21.5,3963,14767203.4,110223,75.3,3963,6092645,60622.6,183,3963,3240
