year,coffin.mean,coffin.min,coffin.max,coffin.median,coffin.obs,fichter.mean,fichter.min,fichter.max,fichter.median,fichter.obs,newbury.mean,newbury.min,newbury.max,newbury.median,newbury.obs,midge.mean,midge.min,midge.max,midge.median,midge.obs
2006,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,1182
2007,NA,NA,NA,NA,1512,NA,NA,NA,NA,1512,NA,NA,NA,NA,1512,NA,NA,NA,NA,1512
2008,22.082798672566373,19.02,24.69,22.13,1808,22.036742382271466,18.69,25.37,21.96,1805,21.879215902816124,16.47,25.59,21.83,1811,22.96227582292849,20.03,26.64,22.84,1762
2009,20.412717391304348,10.69,25.38,20.81,2208,20.383365036231883,13.32,26.42,20.63,2208,20.001834239130435,13.49,26.29,20.18,2208,20.990172101449275,14.43,26.81,21.51,2208
2010,22.028582427536232,13.78,27.32,22.47,2208,22.057586050724638,16.77,25.89,22.79,2208,22.229624094202897,13.49,26.82,22.83,2208,22.80271286231884,17.61,27.17,23.17,2208
2011,21.56887459807074,11,25.56,22.31,2177,21.648465778594396,14.87,26.25,22.3,2177,21.61986219568213,13.8,27.36,22.33,2177,22.269889756545705,13.82,26.82,23.01,2177
2012,22.387839673913042,15.98,25.91,23.14,2208,22.39008152173913,15.18,26.25,23.3,2208,22.47710597826087,11.16,26.11,23.51,2208,23.039279891304346,14.91,26.46,23.86,2208
2013,21.421779891304347,14.26,26.09,21.98,2208,21.41927989130435,13.95,27.33,22.15,2208,21.523858695652173,12.25,28.62,22.33,2208,22.177382246376812,15.62,27.81,22.59,2208
2014,21.460238435860752,15.04,25.39,21.81,2097,21.405188364329994,15.53,25.39,21.98,2097,21.006776347162614,13.18,25.24,21.49,2097,21.75089221014493,13.43,26.22,22.26,2208
2015,21.90502857142857,15.83,25.92,22.81,2100,21.777180952380952,14.89,26.79,22.65,2100,21.664090476190477,13.49,26.11,22.66,2100,22.448509523809523,15.98,26.61,23.31,2100
2016,21.842945013979495,11.47,25.22,22.81,2146,21.773727355072463,14.89,25.74,22.82,2208,21.807092391304348,11.63,26.46,22.83,2208,22.61911231884058,15.03,26.43,23.66,2208
